title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
5.1.1.	Base	Base	0	0	0	15.015	23.205									TRUE	2	NP	F	0	-	99		TRUE	6	NC	B	613	31	511		TRUE	10	HC	A	1155	17	786	1.50150000E+001									TRUE	1	NP	F	0	-	99		TRUE	7	FC	AAA	994	0	511		TRUE	10	FC	AAA	1547	0	796	2.32050000E+001									
GRADIUSIC CYBER	Base	Base	0	0	0	0	17.52									TRUE	5	NP	F	0	-	442		TRUE	6	NP	F	0	-	508		TRUE	7	NP	F	0	-	609										TRUE	4	NP	F	0	-	409		TRUE	9	NP	F	0	-	556		TRUE	9	FC	AAA	1168	0	631	1.75200000E+001									
R3	Bits	Bits	4000	5500	7000	0	12.6295									FALSE	4	NP	F	0	-	330		FALSE	5	NP	F	0	-	368		TRUE	6	NP	F	0	-	454										FALSE	4	NP	F	0	-	384		FALSE	6	NP	F	0	-	392		TRUE	8	EX	AAA	871	9	475	1.26295000E+001									
THE EARTH LIGHT	Bits	Bits	4500	8500	7500	0	19.2415									FALSE	4	NP	F	0	-	398		TRUE	7	NP	F	0	-	530		TRUE	8	NP	F	0	-	581										FALSE	5	NP	F	0	-	456		TRUE	10	EX	AAA	1327	12	718	1.92415000E+001	TRUE	7	EX	AAA	1066	8	581										
GAMBOL	Base	Base	0	0		3.2045	3.93									TRUE	2	NP	F	0	-	137		TRUE	2	FC	AA	221	0	137	3.20450000E+000																	TRUE	2	NP	F	0	-	137		TRUE	2	FC	AAA	262	0	137	3.93000000E+000																	
GENOM SCREAMS	Bits	Bits	3000	6000	9000	0	14.5145									FALSE	3	NP	F	0	-	211		FALSE	6	NP	F	0	-	417		TRUE	9	NP	F	0	-	536										FALSE	3	NP	F	0	-	211		FALSE	6	NP	F	0	-	417		TRUE	9	EX	AAA	1001	4	538	1.45145000E+001									
22DUNK	Bits	Bits	4000	4500	5000	0	9.54									TRUE	3	NP	F	0	-	265		TRUE	4	NP	F	0	-	323		TRUE	5	NP	F	0	-	329										TRUE	5	FC	AAA	636	1	333	9.54000000E+000	TRUE	5	FC	AAA	620	1	334		TRUE	5	EX	AAA	615	6	329										
BRILLIANT 2U	Bits	Bits	3000	4500	2000	0	9.773									FALSE	3	NP	F	0	-	270		TRUE	4	NP	F	0	-	330		FALSE	4	NP	F	0	-	362										FALSE	3	NP	F	0	-	288		TRUE	5	EX	AAA	674	5	363	9.77300000E+000																	
deep in you	Bits	Bits	3500	4000	6000	0	9.4685									FALSE	4	NP	F	0	-	250		FALSE	4	NP	F	0	-	255		TRUE	5	NP	F	0	-	333										FALSE	3	NP	F	0	-	283		FALSE	4	NP	F	0	-	293		TRUE	7	EX	AAA	653	11	364	9.46850000E+000									
KEEP ON MOVIN'	Base	Base	0	0		0	3.525									TRUE	2	NP	F	0	-	98		TRUE	3	NP	F	0	-	122																		TRUE	2	NP	F	0	-	119		TRUE	3	FC	AAA	235	0	122	3.52500000E+000																	
PARANOIA MAX～DIRTY MIX～	Bits	Bits	4000	6000	8500	0	15.08									FALSE	5	NP	F	0	-	280		FALSE	6	NP	F	0	-	376		TRUE	8	NP	F	0	-	562										FALSE	3	NP	F	0	-	280		FALSE	6	NP	F	0	-	406		TRUE	9	EX	AAA	1040	9	581	1.50800000E+001									
.59	Base	Base	0	0	0	0	15.544									TRUE	4	NP	F	0	-	360		TRUE	6	NP	F	0	-	514		TRUE	7	NP	F	0	-	584										TRUE	4	NP	F	0	-	444		TRUE	6	NP	F	0	-	514		TRUE	7	EX	AAA	1072	2	585	1.55440000E+001									
Dancin' Into The Night	Bits	Bits	2000	3000		0	0									FALSE	2	NP	F	0	-	216		TRUE	3	NP	F	0	-	235																		FALSE	2	NP	F	0	-	224		TRUE	3	NP	F	0	-	237																		
I Was The One	Base	Base	0	0	0	0	7.845									TRUE	3	NP	F	0	-	272		TRUE	3	NP	F	0	-	326		TRUE	4	NP	F	0	-	348										TRUE	2	NP	F	0	-	205		TRUE	2	FC	AAA	523	0	270	7.84500000E+000																	
Hitch Hiker	Bits	Bits	3500	5000	2500	0	0									FALSE	3	NP	F	0	-	329		TRUE	4	NP	F	0	-	414		FALSE	5	NP	F	0	-	469										FALSE	4	NP	F	0	-	372		TRUE	6	NP	F	0	-	469																		
SP-TRIP MACHINE(for beatmania II)	Bits	Bits	3000	4500	2000	9.375	8.41									FALSE	3	NP	F	0	-	254		TRUE	4	NP	F	0	-	313		TRUE	4	FC	AAA	625	0	324	9.37500000E+000									FALSE	3	NP	F	0	-	254		TRUE	5	EX	AAA	580	4	311	8.41000000E+000																	
PUT YOUR FAITH IN ME(for beatmania II)	Base	Base	0	0		0	0									TRUE	3	NP	F	0	-	291		TRUE	6	NP	F	0	-	434																		TRUE	4	NP	F	0	-	288		TRUE	7	NP	F	0	-	434																		
CAN'T STOP FALLIN'IN LOVE	Bits	Bits	4000	7500		0	0									FALSE	4	NP	F	0	-	310		TRUE	8	NP	F	0	-	632																		FALSE	4	NP	F	0	-	313		TRUE	7	NP	F	0	-	620																		
Don't Stop!	Bits	Bits	4000	4000	2000	0	0									FALSE	4	NP	F	0	-	389		TRUE	4	NP	F	0	-	428		FALSE	4	NP	F	0	-	453										FALSE	4	NP	F	0	-	391		TRUE	4	NP	F	0	-	450																		
era (nostalmix)	Base	Base	0	0	0	9.25	27.729									TRUE	5	NP	F	0	-	437		TRUE	8	NC	A	761	57	555		TRUE	9	F	B	925	-	786	9.25000000E+000									TRUE	5	NP	F	0	-	437		TRUE	12	HC	AAA	1735	20	952		TRUE	12	HC	AA	2054	42	1226	2.77290000E+001									
Holic	Bits	Bits	6000	8500	11500	0	22.815									FALSE	5	NP	F	0	-	395		TRUE	7	NP	F	0	-	624		TRUE	11	NP	F	0	-	880										FALSE	7	NP	F	0	-	680		TRUE	10	EX	AA	1529	12	875		TRUE	12	HC	A	1755	51	1136	2.28150000E+001									
LEADING CYBER	Bits	Bits	4000	6000	6500	0	17.777									FALSE	4	NP	F	0	-	434		TRUE	6	NP	F	0	-	611		TRUE	7	NP	F	0	-	645										FALSE	4	NP	F	0	-	478		TRUE	6	FC	AAA	1173	1	611		TRUE	6	EX	AAA	1226	2	645	1.77770000E+001									
R5	Base	Base	0	0	0	0	23.461									TRUE	5	NP	F	0	-	387		TRUE	8	NP	F	0	-	588		TRUE	11	NP	F	0	-	889										TRUE	5	NP	F	0	-	430		TRUE	8	NP	F	0	-	599		TRUE	11	EX	AAA	1618	9	870	2.34610000E+001									
REINCARNATION	Bits	Bits	4000	5000	7000	0	17.4145									FALSE	4	NP	F	0	-	424		FALSE	5	NP	F	0	-	525		TRUE	7	NP	F	0	-	643										FALSE	4	NP	F	0	-	398		FALSE	5	NP	F	0	-	525		TRUE	7	EX	AAA	1201	4	643	1.74145000E+001									
Schlagwerk	Bits	Bits	4000	8500	9500	0	28.478									FALSE	4	NP	F	0	-	414		TRUE	6	NP	F	0	-	663		TRUE	8	NP	F	0	-	848										FALSE	4	NP	F	0	-	412		TRUE	11	EX	AAA	1922	14	1043		TRUE	11	EX	AAA	1964	12	1090	2.84780000E+001									
Skyscraper	Bits	Bits	4000	6500	3500	0	18.045									FALSE	4	NP	F	0	-	372		TRUE	6	NP	F	0	-	610		FALSE	7	NP	F	0	-	629										FALSE	4	NP	F	0	-	413		TRUE	7	FC	AAA	1203	2	628	1.80450000E+001																	
Tangerine Stream	Base	Base	0	0		0	0									TRUE	2	NP	F	0	-	141		TRUE	3	NP	F	0	-	198																		TRUE	2	NP	F	0	-	151		TRUE	3	NP	F	0	-	199																		
THE SAFARI	Bits	Bits	7500	10000		13.013	13.211	TRUE	2	NP	F	0	-	183		FALSE	7	NP	F	0	-	618		TRUE	10	NC	B	1183	102	900	1.30130000E+001																	FALSE	8	NP	F	0	-	624		TRUE	10	F	A	1201	-	900	1.32110000E+001																	
never let you down	Bits	Bits	4000	5500	2500	0	0									FALSE	4	NP	F	0	-	408		TRUE	5	NP	F	0	-	575		FALSE	5	NP	F	0	-	581										FALSE	4	NP	F	0	-	465		TRUE	6	NP	F	0	-	577																		
250bpm	Bits	Bits	4500	7500	9500	0	16.366									FALSE	5	NP	F	0	-	353		FALSE	8	NP	F	0	-	528		TRUE	10	NP	F	0	-	726										FALSE	4	NP	F	0	-	351		FALSE	7	NP	F	0	-	523		TRUE	9	EX	AA	1169	4	672	1.63660000E+001									
ABSOLUTE	Bits	Bits	6000	8000	10500	0	36.876									FALSE	6	NP	F	0	-	682		TRUE	8	NP	F	0	-	935		TRUE	10	NP	F	0	-	1218		TRUE	11	NP	F	0	-	1412		FALSE	6	NP	F	0	-	728		TRUE	8	NP	F	0	-	934		TRUE	11	EX	AA	2303	12	1338		TRUE	11	EX	AA	2634	9	1488	3.68760000E+001	
Broken My Heart	Bits	Bits	4500	7000	9500	0	13.948									FALSE	5	NP	F	0	-	474		FALSE	7	NP	F	0	-	751		TRUE	9	NP	F	0	-	914										FALSE	4	NP	F	0	-	405		FALSE	7	NP	F	0	-	742		TRUE	10	F	A	1268	-	914	1.39480000E+001									
CHECKING YOU OUT	Base	Base	0	0	0	14.9445	17.444									TRUE	7	NP	F	0	-	339		TRUE	9	NP	F	0	-	481		TRUE	11	HC	AA	1107	25	700	1.49445000E+001									TRUE	7	NP	F	0	-	339		TRUE	11	HC	A	745	28	482		TRUE	11	EX	AA	1246	6	703	1.74440000E+001									
Clione	Base	Base	0	0	0	16.081	29.54									TRUE	4	NP	F	0	-	264		TRUE	5	NP	F	0	-	479		TRUE	9	HC	A	1237	16	811	1.60810000E+001	TRUE	11	NP	F	0	-	1102		TRUE	3	NP	F	0	-	264		TRUE	4	NP	F	0	-	477		TRUE	9	FC	AAA	1866	3	1010		TRUE	11	EX	AA	2110	16	1203	2.95400000E+001	
DXY!	Sub	TRI3	0	0	0	21.814	31.3065									TRUE	6	NC	AA	1069	2	651		TRUE	9	NP	F	0	-	968		TRUE	10	HC	A	1678	51	1158	2.18140000E+001									TRUE	6	NP	F	0	-	781		TRUE	12	HC	AA	2319	38	1332	3.13065000E+001	TRUE	12	NC	AA	2400	92	1529										
empathy	Bits	Bits	4500	9000	4000	14.612	22.7205									FALSE	5	NP	F	0	-	416		TRUE	7	NP	F	0	-	703		TRUE	8	HC	A	1124	37	743	1.46120000E+001									FALSE	4	NP	F	0	-	411		TRUE	11	HC	AA	1683	34	961	2.27205000E+001																	
era (step mix)	Bits	Bits	4500	8000	10500	7.65	26.4735									FALSE	5	NP	F	0	-	565		FALSE	8	NP	F	0	-	733		TRUE	9	F	D	765	-	875	7.65000000E+000									FALSE	4	NP	F	0	-	503		FALSE	8	NP	F	0	-	728		TRUE	12	HC	AA	1961	39	1226	2.64735000E+001									
HIGHER	Bits	Bits	3500	5000	6500	0	0									FALSE	3	NP	F	0	-	270		FALSE	4	NP	F	0	-	468		FALSE	6	NP	F	0	-	641										FALSE	4	NP	F	0	-	362		FALSE	6	NP	F	0	-	578		FALSE	7	NP	F	0	-	611										
KAMIKAZE	Bits	Bits	5000	6500	10000	0	31.785									FALSE	5	NP	F	0	-	515		FALSE	6	NP	F	0	-	745		TRUE	10	NP	F	0	-	1157										FALSE	5	NP	F	0	-	512		FALSE	7	NP	F	0	-	745		TRUE	10	FC	AAA	2119	2	1156	3.17850000E+001									
LOVE WILL・・・	Base	Base	0	0	0	0	14.58									TRUE	4	NP	F	0	-	279		TRUE	4	NP	F	0	-	379		TRUE	7	NP	F	0	-	732										TRUE	4	NP	F	0	-	330		TRUE	6	FC	AAA	972	0	529	1.45800000E+001	TRUE	8	NP	F	0	-	726										
minimalian	Base	Base	0	0	0	7.539	23.2065									TRUE	3	NP	F	0	-	271		TRUE	8	NP	F	0	-	555		TRUE	9	EC	C	718	17	706	7.53900000E+000									TRUE	3	NP	F	0	-	263		TRUE	9	NP	F	0	-	626		TRUE	12	HC	AA	1719	23	1015	2.32065000E+001									
starmine	Bits	Bits	5000	8000	10500	17.71	26.978	TRUE	2	NP	F	0	-	224		FALSE	5	NP	F	0	-	456		FALSE	8	NP	F	0	-	719		TRUE	9	EX	AA	1265	7	800	1.77100000E+001									FALSE	5	NP	F	0	-	566		FALSE	8	NP	F	0	-	796		TRUE	12	EX	AA	1927	14	1098	2.69780000E+001									
Voltage (feat. Hidemaru)	Bits	Bits	5000	9000	4000	0	22.8015									FALSE	5	NP	F	0	-	480		TRUE	7	NP	F	0	-	630		TRUE	8	NP	F	0	-	670										FALSE	5	NP	F	0	-	480		TRUE	11	HC	AA	1689	25	964	2.28015000E+001																	
Hitch Hiker2	Bits	Bits	4500	7500	8000	0	26.6365									FALSE	4	NP	F	0	-	420		FALSE	6	NP	F	0	-	609		TRUE	7	NP	F	0	-	665		TRUE	9	NP	F	0	-	976		FALSE	5	NP	F	0	-	518		FALSE	9	NP	F	0	-	880		TRUE	9	NP	F	0	-	864		TRUE	10	EX	AAA	1837	5	975	2.66365000E+001	
SWEET LAB	Bits	Bits	4500	8000	11000	0	15.903									FALSE	3	NP	F	0	-	280		TRUE	6	NP	F	0	-	496		TRUE	10	NP	F	0	-	692										FALSE	6	NP	F	0	-	445		TRUE	10	NP	F	0	-	674		TRUE	12	HC	AA	1178	30	719	1.59030000E+001									
DIAMOND JEALOUSY	Bits	Bits	4500	6000		0	0									FALSE	5	NP	F	0	-	343		FALSE	6	NP	F	0	-	546																		FALSE	4	NP	F	0	-	340		FALSE	6	NP	F	0	-	542																		
Under Construction	Bits	Bits	5000	7000	8000	0	0									FALSE	5	NP	F	0	-	417		FALSE	7	NP	F	0	-	507		TRUE	8	NP	F	0	-	582										FALSE	5	NP	F	0	-	417		FALSE	7	NP	F	0	-	569		TRUE	8	NP	F	0	-	754										
FLOWERS for ALBION	Base	Base	0	0		0	6.345									TRUE	2	NP	F	0	-	122		TRUE	5	NP	F	0	-	222																		TRUE	5	NP	F	0	-	190		TRUE	7	FC	AAA	423	0	222	6.34500000E+000																	
Jam&Marmalade	Bits	Bits	5000	6500	4000	0	0									FALSE	6	NP	F	0	-	388		TRUE	7	NP	F	0	-	456		FALSE	8	NP	F	0	-	512										FALSE	4	NP	F	0	-	327		TRUE	6	NP	F	0	-	451																		
Abyss	Bits	Bits	6000	7500	8500	20.4255	25.7375									FALSE	5	NP	F	0	-	639		TRUE	7	NP	F	0	-	817		TRUE	8	HC	AA	1513	29	945	2.04255000E+001									FALSE	7	NP	F	0	-	771		TRUE	8	EX	AAA	1656	7	889		TRUE	9	EX	AAA	1775	9	964	2.57375000E+001									
in my eyes	Base	Base	0	0	0	0	0									TRUE	5	NP	F	0	-	484		TRUE	6	NP	F	0	-	739		TRUE	7	NP	F	0	-	798										TRUE	5	NP	F	0	-	484		TRUE	8	NP	F	0	-	842		TRUE	10	NP	F	0	-	1051										
Kiss me all night long	Bits	Bits	5000	6000	7000	0	0									FALSE	5	NP	F	0	-	471		FALSE	6	NP	F	0	-	629		TRUE	7	NP	F	0	-	746										FALSE	5	NP	F	0	-	480		FALSE	6	NP	F	0	-	620		TRUE	7	NP	F	0	-	703										
outer wall	Base	Base	0	0	0	0	23.8525									TRUE	5	NP	F	0	-	474		TRUE	6	NP	F	0	-	687		TRUE	8	NP	F	0	-	892										TRUE	5	NP	F	0	-	474		TRUE	7	NP	F	0	-	736		TRUE	10	EX	AAA	1645	12	902	2.38525000E+001									
QQQ	Bits	Bits	7500	10000	5000	0	29.511									TRUE	5	NP	F	0	-	621		TRUE	8	NP	F	0	-	961		TRUE	10	NP	F	0	-	1091										TRUE	10	EX	AAA	1886	3	1016		TRUE	12	HC	AA	2186	57	1346	2.95110000E+001																	
Radical Faith	Bits	Bits	5500	8500	8500	0	34.133									FALSE	5	NP	F	0	-	602		TRUE	6	NP	F	0	-	768		TRUE	7	NP	F	0	-	660										FALSE	6	NP	F	0	-	749		TRUE	11	EX	AAA	2354	10	1255	3.41330000E+001	TRUE	10	HC	AAA	2027	15	1101										
Real	Bits	Bits	6000	8500	10000	0	26.446									FALSE	5	NP	F	0	-	580		FALSE	8	NP	F	0	-	866		TRUE	9	NP	F	0	-	920										FALSE	7	NP	F	0	-	796		FALSE	9	EX	AA	1660	5	949		TRUE	11	EX	AA	1889	13	1139	2.64460000E+001									
Regulus	Bits	Bits	6000	9500	10500	0	25.116									FALSE	6	NP	F	0	-	551		TRUE	9	NP	F	0	-	788		TRUE	10	NP	F	0	-	881										FALSE	6	NP	F	0	-	545		TRUE	10	EX	AA	1419	6	805		TRUE	11	EX	AA	1794	11	1065	2.51160000E+001									
RIDE ON THE LIGHT (HI GREAT MIX)	Bits	Bits	4500	6500	8500	0	24.911									FALSE	4	NP	F	0	-	452		FALSE	5	NP	F	0	-	548		TRUE	8	NP	F	0	-	862		TRUE	10	NP	F	0	-	931		FALSE	5	NP	F	0	-	469		FALSE	8	NP	F	0	-	616		TRUE	9	EX	AAA	1718	3	904	2.49110000E+001	TRUE	10	HC	AA	1773	15	1010		
RISLIM	Bits	Bits	4000	6500		0	17.91									FALSE	4	NP	F	0	-	463		TRUE	7	NP	F	0	-	625																		FALSE	4	NP	F	0	-	463		TRUE	6	FC	AAA	1194	0	625	1.79100000E+001																	
Spin the disc	Bits	Bits	6000	8500	4000	0	24.5775									FALSE	5	NP	F	0	-	409		TRUE	7	NP	F	0	-	659		TRUE	8	NP	F	0	-	674										FALSE	7	NP	F	0	-	618		TRUE	10	EX	AAA	1695	3	900	2.45775000E+001																	
STILL IN MY HEART	Bits	Bits	4500	6500	10000	0	31.29									FALSE	5	NP	F	0	-	517		FALSE	7	NP	F	0	-	705		TRUE	9	NP	F	0	-	971										FALSE	4	NP	F	0	-	516		FALSE	6	NP	F	0	-	705		TRUE	11	EX	AA	2235	14	1286	3.12900000E+001									
still my words	Bits	Bits	4500	6500		0	19.865									FALSE	4	NP	F	0	-	464		TRUE	6	NP	F	0	-	619																		FALSE	5	NP	F	0	-	437		TRUE	7	EX	AAA	1370	6	726	1.98650000E+001																	
sync	Bits	Bits	6500	8500	10500	0	34.02									FALSE	6	NP	F	0	-	549		FALSE	8	NP	F	0	-	982		TRUE	10	NP	F	0	-	1204										FALSE	7	NP	F	0	-	796		FALSE	9	NP	F	0	-	1030		TRUE	11	FC	AAA	2268	1	1208	3.40200000E+001									
V	Base	Base	0	0	0	33.5745	34.524	TRUE	2	NP	F	0	-	173		TRUE	5	EX	AAA	1187	4	646		TRUE	10	NP	F	0	-	1272		TRUE	12	HC	AA	2487	43	1519	3.35745000E+001									TRUE	6	NP	F	0	-	757		TRUE	10	NP	F	0	-	1385		TRUE	11	EX	AA	2466	16	1504	3.45240000E+001									
sometime	Bits	Bits	4500	7000	8000	0	19.0675									FALSE	4	NP	F	0	-	393		FALSE	6	NP	F	0	-	539		TRUE	8	NP	F	0	-	672										FALSE	5	NP	F	0	-	393		FALSE	8	NP	F	0	-	676		TRUE	8	EX	AAA	1315	2	693	1.90675000E+001									
LOVE AGAIN TONIGHT～for Mellisa mix～	Bits	Bits	4000	5000	3000	0	0									FALSE	4	NP	F	0	-	385		TRUE	5	NP	F	0	-	501		FALSE	6	NP	F	0	-	561										FALSE	4	NP	F	0	-	466		TRUE	5	NP	F	0	-	555																		
Time is money	Bits	Bits	3000	3000		0	9.135									FALSE	3	NP	F	0	-	308		TRUE	3	NP	F	0	-	327																		FALSE	3	NP	F	0	-	317		TRUE	3	FC	AAA	609	0	327	9.13500000E+000																	
Estella	Bits	Bits	5000	8000		0	22.725									FALSE	4	NP	F	0	-	382		TRUE	6	NP	F	0	-	559																		FALSE	6	NP	F	0	-	567		TRUE	10	FC	AAA	1515	0	799	2.27250000E+001																	
INSERTiON	Bits	Bits	5000	7000	8000	0	0									FALSE	5	NP	F	0	-	452		FALSE	7	NP	F	0	-	664		TRUE	8	NP	F	0	-	835										FALSE	5	NP	F	0	-	445		FALSE	7	NP	F	0	-	595		TRUE	8	NP	F	0	-	850										
THE SHINING POLARIS	Base	Base	0	0	0	0	18.39									TRUE	5	NP	F	0	-	485		TRUE	7	NP	F	0	-	667		TRUE	8	NP	F	0	-	799										TRUE	6	NP	F	0	-	485		TRUE	8	FC	AAA	1226	2	665	1.83900000E+001																	
BALLAD FOR YOU～想いの雨～	Bits	Bits	4500	6500	3500	0	16.035									FALSE	4	NP	F	0	-	297		TRUE	5	NP	F	0	-	387		FALSE	7	NP	F	0	-	537										FALSE	5	NP	F	0	-	375		TRUE	8	FC	AAA	1069	0	546	1.60350000E+001																	
